,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARFGAP2,23.64647740939412,1.1767536342677232,0.3702353105231391,3.178393850670216,0.0014809343342660117,0.6519811852249188
CFAP54,179.1353644974255,-0.780900748697136,0.24704318798705593,-3.1609887933362164,0.001572345477881301,0.6519811852249188
NARFL,9.979990804954971,1.9668486346248262,0.626791827770332,3.1379615168586965,0.0017012721158021873,0.6819265730840434
AC063979.2,40.190545525110856,-1.0603553081224906,0.35567245981739204,-2.981269082984086,0.002870564427819936,0.7492091741852485
EMP3,7.05845133389197,2.136815503904876,0.7006344090056785,3.049829520844383,0.002289712969856012,0.7492091741852485
STAG1,441.1772934347429,-0.6262447111256327,0.20317660043833552,-3.0822678880076015,0.002054298712609064,0.7492091741852485
ADCY2,34.24553672935034,-1.1523143559848286,0.3813721503312408,-3.021495814479337,0.00251529117732244,0.7492091741852485
GALNT18,327.0002676550493,-0.9101964279211959,0.29519733075633764,-3.083349112910821,0.0020468487815137114,0.7492091741852485
NME3,21.612854037275227,1.2775488465741798,0.4328242611968336,2.9516571992557377,0.0031607361369558407,0.7492091741852485
CCDC30,39.935331114136474,-1.18798312006866,0.39540142059565636,-3.004498866693526,0.002660187498627969,0.7492091741852485
TMEM202-AS1,31.735206979656425,-1.2185425776456762,0.40450533928693727,-3.0124264361843167,0.0025916824298874387,0.7492091741852485
AC109927.1,96.0105267204537,-1.5895833985505141,0.5380173439644278,-2.954520735033428,0.00313155109000373,0.7492091741852485
SMIM37,4.594196524943035,4.049473082915833,1.330054550645507,3.0445917281742525,0.0023299636646565806,0.7492091741852485
SLC1A2,87.95648053628803,0.920295943096754,0.31110601898701806,2.9581425203321325,0.0030949899147887905,0.7492091741852485
LARS2,55.99940170192778,-0.788182970017524,0.26708659567603005,-2.9510390366934476,0.0031670688730303606,0.7492091741852485
MEST,47.69231038199993,0.7534612067622196,0.2501667224289127,3.0118362644189136,0.0025967262045921667,0.7492091741852485
NF1,511.13500433033863,-0.6072107478182973,0.20357725242378216,-2.9827043080151237,0.0028571388197849578,0.7492091741852485
GPN3,4.632358848964282,2.5839318749591724,0.8639709699508042,2.9907623807155295,0.002782819441494564,0.7492091741852485
H2AFZ,11.035993072925276,2.2288125530457883,0.7280322951411184,3.061419895684388,0.0022028992727867384,0.7492091741852485
DRD4,14.885737832995215,1.8373533382116536,0.599684349948363,3.063867413531573,0.002184957219057175,0.7492091741852485
SV2A,14.018292050573713,1.9139289828961337,0.6501080229434303,2.9440168638907505,0.0032398234559362095,0.7492091741852485
NCKAP5,2077.1348739771065,-0.6249298419112681,0.20632801862345002,-3.0288171528064214,0.002455132277037224,0.7492091741852485
LINC01748,380.3592798867441,-0.9733207161894878,0.32786334162353686,-2.9686780820622687,0.002990837435161766,0.7492091741852485
ENOX2,65.35998624476555,-0.842815328885564,0.28575661396644686,-2.9494166983114036,0.0031837438813424276,0.7492091741852485
LINC00882,215.2313697469479,-0.7401163802514367,0.24459476770459365,-3.0258880318539894,0.0024790408560209694,0.7492091741852485
DCUN1D1,58.94297160780549,-0.6788220034549137,0.23114811291171786,-2.9367404081476343,0.003316816218705577,0.7525417930176332
PTP4A3,32.44304093183579,1.8619326815280548,0.6358226597194513,2.9283836507959764,0.0034072932922284485,0.7587537377601313
SAMD11,10.73153677573249,2.303676530905615,0.7968007213777376,2.891157687360471,0.003838254800650707,0.7723988030500667
RPL29,14.806793454902527,2.315717797437391,0.807364657112103,2.8682427166437785,0.004127587514951775,0.7723988030500667
