Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,UV Response Dn,-0.350103117779917,-1.6584307778400649,0.005390835579514825,0.04225279003373994,0.071,39/118,18.94%,SIPA1L1;PRKCE;ADORA2B;PIK3R3;PTEN;DLG1;CDON;RUNX1;INPP4B;SCAF8;BMPR1A;RASA2;BCKDHB;ATRN;MAGI2;PRKCA;SFMBT1;NFKB1;TGFBR3;CELF2;KCNMA1;ADGRL2;CDK13;TFPI;PRDM2;DYRK1A;PPARG;LDLR;SDC2;AKT3;IGF1R;NFIB;MMP16;ANXA4;RBPMS;NIPBL;SPOP;ADD3;CDC42BPA
prerank,DNA Repair,0.3396433872681949,1.5111468483820942,0.008130081300813009,0.04787257642308887,0.33,44/118,26.42%,NME3;PDE6G;TAF6;NT5C;TYMS;EIF1B;NELFB;RFC4;TAF1C;NELFCD;DAD1;RPA3;ERCC2;HPRT1;SUPT4H1;BCAM;POLR2H;GUK1;MPC2;GSDME;GPX4;MPG;USP11;PCNA;POLR2K;NUDT9;ITPA;POLR2C;POLR2J;RAE1;GMPR2;COX17;TP53;TAF10;DUT;SNAPC5;POLL;DDB1;ERCC4;EDF1;APRT;SEC61A1;BCAP31;ELOA
prerank,Hypoxia,0.3332139056086606,1.5005361406619038,0.009433962264150943,0.04811290060191963,0.363,54/130,27.77%,DDIT3;GLRX;HSPA5;CDKN1C;JMJD6;ENO2;ILVBL;ANKZF1;GRHPR;GAA;GPC1;JUN;CDKN1A;TIPARP;PPP1R3C;GAPDH;RRAGD;P4HA2;TPI1;ATF3;CAV1;SAP30;PFKL;VLDLR;LDHA;PRDX5;PIM1;DUSP1;SLC6A6;ZFP36;SLC2A1;KLF6;PGM1;SLC37A4;NAGK;CP;TPST2;MT2A;SIAH2;CSRP2;F3;VEGFA;CASP6;FOS;SDC3;CHST3;CITED2;NDRG1;ERRFI1;ANGPTL4;EFNA1;DDIT4;CHST2;ENO1
prerank,Unfolded Protein Response,0.3395071612798796,1.4662089538075267,0.014354066985645933,0.061298194241093215,0.471,29/90,19.41%,HSPA5;BANF1;NOP56;TUBB2A;HSP90B1;ARFGAP1;CALR;DNAJA4;EIF4A1;LSM4;CEBPB;IMP3;CXXC1;HERPUD1;NHP2;ATF3;EIF4A2;DKC1;SLC1A4;DNAJB9;TSPYL2;ASNS;RPS14;CEBPG;BAG3;PDIA6;ATF4;PDIA5;DCTN1
prerank,Apoptosis,0.33041909653330076,1.4444403268047898,0.016181229773462782,0.06369936554416789,0.524,37/109,23.36%,DDIT3;HSPB1;DNAJA1;SOD1;IFITM3;VDAC2;RHOT2;ENO2;FEZ1;BCL2L11;JUN;CTH;CDKN1A;TSPO;MADD;BAX;ATF3;GSN;CAV1;NEFH;CDC25B;TIMP1;GPX4;CLU;GUCY2D;MMP2;PDCD4;SPTAN1;LMNA;ERBB2;CASP2;TAP1;RETSAT;CASP6;RELA;GADD45B;PDGFRB
prerank,Glycolysis,0.31458146538805654,1.45099544649126,0.014446227929373997,0.0646238583281043,0.506,56/137,27.77%,FKBP4;GLRX;HSPA5;G6PD;SOD1;ENO2;B3GAT3;GOT1;MDH2;ANKZF1;PKM;PLOD1;PPIA;GPC1;GALE;CTH;NT5E;NDST3;HAX1;RRAGD;P4HA2;TPI1;RBCK1;CAPN5;SAP30;TALDO1;VLDLR;LDHA;MDH1;STMN1;HOMER1;PGAM1;SLC37A4;ALDH9A1;COPB2;PSMC4;KIF2A;AGRN;PGLS;VEGFA;CASP6;EGLN3;CHPF;GNE;SDC3;TGFA;MPI;CITED2;QSOX1;ANGPTL4;NOL3;CYB5A;DDIT4;B4GALT4;CHST2;ENO1
prerank,Estrogen Response Late,0.3217242181705551,1.397986525949351,0.027375201288244767,0.08826866764275257,0.647,33/109,21.41%,MEST;FKBP4;PLXNB1;LSR;DCXR;BLVRB;GLA;CKB;HSPB8;ETFB;GALE;SLC2A8;HPRT1;HSPA4L;FLNB;CAV1;SLC1A4;IDH2;STIL;IL17RB;ZFP36;PCP4;DYNLT3;TPD52L1;LLGL2;PDCD4;NAB2;FABP5;SIAH2;TOB1;UNC13B;METTL3;BAG1
prerank,Coagulation,0.32980517854068747,1.3287085910084795,0.07744107744107744,0.14077455286653462,0.824,22/64,21.29%,S100A1;CRIP2;S100A13;SERPING1;GNB2;P2RY1;CAPN2;TF;FURIN;GSN;CAPN5;LRP1;RGN;TIMP1;C1R;USP11;CLU;MMP2;RAC1;SPARC;CTSK;F3
prerank,Pperoxisome,0.3061211407366773,1.260877367418623,0.11237785016286644,0.2226939970717423,0.942,21/78,21.60%,PRDX1;SOD1;TTR;ACAA1;DHRS3;ECH1;ACOT8;GSTK1;TSPO;IDH2;FADS1;HRAS;PRDX5;MVP;ALDH9A1;HMGCL;PEX6;PEX5;RETSAT;CRABP1;ABCC5
prerank,Bile Acid Metabolism,0.29555654613813737,1.1958073490910153,0.19444444444444445,0.3255092342863014,0.978,17/69,20.03%,ABCG4;SOD1;TTR;ABCA4;PFKM;PIPOX;ABCA2;GSTK1;PNPLA8;IDH2;FADS1;PRDX5;BBOX1;ALDH9A1;PHYH;PEX6;RETSAT
