Term,NES_dry,FDR q-val_dry,NES_wet,FDR q-val_wet
Oxidative Phosphorylation,2.2251529507036487,0.0,1.6737716027747649,0.029005169950561703
UV Response Up,2.12737555949554,0.0,1.6941840591475834,0.035120717831704236
Myc Targets V1,2.094132702123757,0.0,1.6313050844867134,0.028725602047423762
Reactive Oxygen Species Pathway,2.0421118707533967,0.0,1.6727471242607905,0.02175387746292128
p53 Pathway,2.015708369100144,0.0002537823328452904,1.8457720398238062,0.013628935277974777
Myogenesis,1.5699124060926315,0.030707662274280137,1.5339095406309597,0.046128704017760785
